shop_name,address,phone_number,email,category,product,district,street_no,street_name,city,ward,ocr_result,file_name
GIẶT HẤP ƯU,,,,Dịch vụ giặt hấp và ủi đồ,Dịch vụ giặt ủi nhanh chóng và tiện lợi,,,,,,GIẶT HẤP ƯU,crop_images/GPAH9464.JPG.jpg_1730866534.9631667.jpg
Express Laundry,Giát sấy nhanh,,,Dịch vụ giặt sấy nhanh,Dịch vụ giặt ủi nhanh cho quần áo và các loại vải khác,,,,,,"GIÁT SẤY NHANH
Express Laundry",crop_images/GPAH9465.JPG.jpg_1730866705.5960298.jpg
Express Laundry,,,,Dịch vụ giặt sấy nhanh,Dịch vụ giặt sấy nhanh,,,,,,"GIÁT SẤY NHANH
Express Laundry",crop_images/GPAH9465.JPG.jpg_1730866705.664164.jpg
Hót Tóc Nam Minh Trí (Vân),"101 Hưng Phú, Quận 8, TP. Hồ Chí Minh",0919 07 87 49,,Salon tóc nam,Dịch vụ cắt tóc nam với phong cách hiện đại và phục vụ theo mô hình bình dân,Quận 8,101,Hưng Phú,TP. Hồ Chí Minh,,"HÓT TÓC NAM
MINH TRÍ (VÂN)
ĐC: 101 HƯNG PHÚ, Q.8 - ĐT: 0919 07 87 49
Bình Dân",crop_images/GPAH9466.JPG.jpg_1730867060.4591238.jpg
Mắt kính Minh Triết,"99 Hùng Phủ, Phường 8, Quận 8",0938 2712 - 0934 843 694,,Cửa hàng mắt kính,Mắt kính,Quận 8,99,Hùng Phủ,,Phường 8,"Mắt kính Minh Triết
99 HÙNG PHỦ - P.8 - Q.8
DT: 0938 2712 - 0934 843 694",crop_images/GPAH9466.JPG.jpg_1730867060.5146353.jpg
Hoành Thánh Hủ Tiếu - Mì,,,,Nhà hàng,"Hủ tiếu, mì, bánh canh, nui",,,,,,"HỦ TIẾU - MÌ
HOÀNH THÁNH
BÁNH CANH - NUI
20K - 25K - 30K",crop_images/GPAH9468.JPG.jpg_1730867573.917851.jpg
Hủ Tiếu - Mì Hoành Thánh,,,,"Thực phẩm, đồ ăn mang đi","Hủ Tiếu, Mì Hoành Thánh, Bánh Canh",,,,,,Hủ Tiếu - Mì Hoành Thánh Bánh Canh - Nui 20K - 25K - 30K,crop_images/GPAH9468.JPG.jpg_1730867573.9517488.jpg
Cafe AB,Hồ Chí Minh,,,Cafe,Bánh Canh - Nui,,,,,,"Cafe AB
Hồ Chí Minh
Bánh Canh - Nui",crop_images/GPAH9468.JPG.jpg_1730867573.9680886.jpg
Hoành Thánh,,,,,"Hủ tiếu, mì, bánh canh, nui",,,,,,"HÙ TIẾU - MÌ
HOÀNH THÁNH
BÁNH CANH - NUI
20K - 25K - 30K",crop_images/GPAH9469.JPG.jpg_1730867822.1723776.jpg
Hoành Thánh - Bánh Canh - Nui,,,,Thực phẩm chế biến sẵn,"Hủ tiếu, mì, bánh canh, nui",,,,,,"HÙ TIẾU - MÌ
HOÀNH THÁNH
BÁNH CANH - NUI
20K - 25K - 30K",crop_images/GPAH9469.JPG.jpg_1730867822.1782954.jpg
Nhà Thuốc Tây Ngọc Dung,"956 Hùng Phủ, Phường 8, Quận 8, Thành phố Hồ Chí Minh",,,"Thuốc, dược phẩm",Nước uống chăm sóc sức khỏe,Quận 8,956,Hùng Phủ,Hồ Chí Minh,Phường 8,"NHÀ THUỐC TÂY NGỌC DUNG
ĐẠT CHUẨN GPP - CHUYÊN NƯỚC ĐIỀU TRỊ BỆNH
ĐC: 956 HÙNG PHỦ P.8 - Q.8",crop_images/GPAH9469.JPG.jpg_1730867822.1869848.jpg
VIP GYM,"95C HƯNG PHÚ, Quận 8, Thành phố Hồ Chí Minh",,,Phòng tập Gym và Yoga,Dịch vụ gym và yoga,Quận 8,95C,HƯNG PHÚ,Thành phố Hồ Chí Minh,,"VIP GYM
ESS-YOGA-NAMOT
95C HƯNG PHÚ - Q.8 - TP.HCM",crop_images/GPAH9470.JPG.jpg_1730868009.9478128.jpg
ĐẠI LÝ DUNG HÒA,"Số 16/24, Ngân Hàng Bình Phương, TP. Hồ Chí Minh",,,,ĐUA - NƯỚC GIẢI KHÁY,,,,Hồ Chí Minh,,"ĐẠI LÝ DUNG HÒA
CHUYÊN CUNG CẤP SĨ VÀ LẺ: ĐUA - NƯỚC GIẢI KHÁY
SỐ 16/24, NGÂN HÀNG BÌNH PHƯƠNG, TP. HỒ CHÍ MINH",crop_images/GPAH9472.JPG.jpg_1730868259.4789562.jpg
ĐẠI LÝ DUNG HÒA,,,,Nước giải khát,Sỉ và lẻ nước giải khát,,,,,,"ĐẠI LÝ DUNG HÒA
CHUYÊN CUNG CẤP SĨ VÀ LẺ
BA - NƯỚC GIẢI KHÁT",crop_images/GPAH9472.JPG.jpg_1730868259.4950688.jpg
Đại Lý Dung Hòa,,,,,Da - Nước giải khát,,,,,,"ĐẠI LÝ DUNG HÒA
CHUYÊN CUNG CẤP SĨ VÀ LẺ
DA - NƯỚC GIẢI KHÁT",crop_images/GPAH9472.JPG.jpg_1730868259.565274.jpg
Ban chỉ huy quân sự Quận 8,Đường ... (không có thông tin),,,Dịch vụ quân sự,"Dịch vụ quân sự, tư vấn và hỗ trợ về quân sự",Quận 8,,,,,"BAN CHI HUY QUÂN SỰ QUẬN 8
BAN CHI HUY QUÂN SỰ PH",crop_images/GPAH9473.JPG.jpg_1730868429.6242688.jpg
,,,,,,,,,,,"BAN CHỈ HUY QUÂN SỰ QUẬN 8
BAN CHỈ HUY QUÂN SỰ PH",crop_images/GPAH9473.JPG.jpg_1730868429.6798825.jpg
Phúc Yến,,0987.225.453,,,,,,,,,"Phúc Yến
0987.225.453",crop_images/GPAH9475.JPG.jpg_1730868816.5436027.jpg
Phúc Yến,,0987.225.453,,,,,,,,,"Phúc Yến
0987.225.453",crop_images/GPAH9475.JPG.jpg_1730868816.5891197.jpg
Phúc Yến,,0987.225.453,,,,,,,,,"Phúc Yến
0987.225.453",crop_images/GPAH9475.JPG.jpg_1730868816.6018817.jpg
Phước Vinh,,,,Salon tóc nam và sửa xe,"Tạo mẫu tóc nam (cắt, cạo, ráy, gội, nhớ tóc bạc); Dịch vụ sửa xe",,,,,,"Phước Vinh
Tạo Mẫu Tóc Nam
Cắt - Cạo - Ráy - Gội - Nhớ Tóc Bạc
Sửa Xe Tư Hiền",crop_images/GPAH9476.JPG.jpg_1730869020.103235.jpg
TRÀ VẢI ĐÀO,,,,Trà hỗn hợp,Trà vải đào,,,,,,"TRÀ
-VẢI
-ĐÀO
Sale Ngày 1/3/2023 Trà Tắc Mua 1 Tặng 1",crop_images/GPAH9476.JPG.jpg_1730869020.1329958.jpg
Phước Vinh,,,,Salon & Automotive Services,"Tạo mẫu tóc nam, Sửa xe tư hiền",,,,,,"Phước Vinh
Tạo Mẫu Tóc Nam
Cắt - Cạo - Ráy - Gội - Nhổ Tóc Bạc
Sửa Xe Tư Hiền",crop_images/GPAH9476.JPG.jpg_1730869020.2052042.jpg
Điểm bán vé số Kim Hà,"Hưng Phú, Phường 8, Quận 8, Thành phố Hồ Chí Minh",0909 380 192,,Bán vé số sỉ & lẻ,Vé số,Quận 8,,,Thành phố Hồ Chí Minh,Phường 8,"Điểm bán vé số sỉ & lẻ
KIM HÀ
HƯNG PHÚ - P.8 - Q.8
DT: 0909 380 192",crop_images/GPAH9477.JPG.jpg_1730869178.898819.jpg
Điểm bán vé số sỉ & lẻ KIM HÀ,"HƯNG PHÚ, P.8, Quận 8, TP.HCM",0909 380 192,,Vé số,"Vé số sỉ và lẻ, nước ngọt LÂM HÀ",Quận 8,,,TP.HCM,P.8,"Điểm bán vé số sỉ & lẻ
KIM HÀ
HƯNG PHÚ - P.8 - 0.8
DT: 0909 380 192
Nước ngọt LÂM HÀ
DT: 0906 038 523 - 08 9999 - 0067",crop_images/GPAH9477.JPG.jpg_1730869178.9486306.jpg
ĐẠI LÝ BIA - NƯỚC NGỌT LÂM HÀ,"81 HÙNG PHÚ, P. 8, Q.B",0906 038 523 - 08 9999 0007,,Đại lý bán lẻ bia và nước ngọt,Bia và nước ngọt,Q.B,81,HÙNG PHÚ,,P. 8,"ĐẠI LÝ BIA - NƯỚC NGỌT
LÂM HÀ
81 HÙNG PHÚ, P. 8, Q.B
0906 038 523 - 08 9999 0007",crop_images/GPAH9477.JPG.jpg_1730869179.0164156.jpg
Fruit House,77 Hùng Phú Phường 8,,,Đồ uống từ trái cây,"Nước ép, Sinh tố, Trà trái cây, Soda",Quận 9,,,,,"Fruit House
Đồng Giá 2.5k
Nước ép
Sinh tố
Trà trái cây
Soda
77 HÙNG PHÚ PHƯỜNG 8 QUẬN 9",crop_images/GPAH9478.JPG.jpg_1730869347.8961127.jpg
Điểm bán vé số Kim Hà,"To Hưng Phú, Phường 8, Quận 8, TP. Hồ Chí Minh",0909 380 192,,Bán vé số sỉ & lẻ,Vé số,Quận 8,,,TP. Hồ Chí Minh,Phường 8,"ĐIỂM BÁN VÉ SỐ SỈ & LẺ
KIM HÀ
TO HƯNG PHÚ - P.&Q.08
DT: 0909 380 192",crop_images/GPAH9478.JPG.jpg_1730869347.9409585.jpg
Fruit House,"77 Hùng Phú, Phường 8, Quận 9",,,"Cửa hàng chuyên về các loại nước ép, sinh tố, trà trái cây và soda","Nước ép, Sinh tố, Trà trái cây, Soda",Quận 9,77,Hùng Phú,,Phường 8,"Fruit House
Đồng Giá 2.5k
Nước ép
Sinh tố
Trà trái cây
Soda
77 HÙNG PHÚ PHƯỜNG 8 QUẬN 9",crop_images/GPAH9478.JPG.jpg_1730869347.9597957.jpg
Fruit House,"77 Hùng Phú, Phường B, Quận 9",,,Cửa hàng đồ uống,"Nước ép trái cây, Sinh tố, Trà trái cây, Soda",Quận 9,77,Hùng Phú,,Phường B,"Fruit House
Đồng Giá 2.5k
Nước ép
Sinh tố
Trà trái cây
Soda
77 HÙNG PHÚ PHƯỜNG B QUẬN 9",crop_images/GPAH9478.JPG.jpg_1730869347.982516.jpg
GSEKAI,,,,Cà phê và trà,Coffee & Tea,,,,,,"GSEKAI
Coffee & Tea",crop_images/GPAH9479.JPG.jpg_1730869451.7584877.jpg
GSEKAI Coffee & Tea,,,,,cà phê và trà,,,,,,"GSEKAI
Coffee & Tea",crop_images/GPAH9479.JPG.jpg_1730869451.8955503.jpg
Trung Tâm TCD.VN,"159D/7 Đạ Nam, Phường 3, Quận 8, TP. Hồ Chí Minh",,,"Giáo dục, đào tạo","Khoá học học từ lớp 3 đến lớp 12 với các môn Toán, Lý, Hóa, Sinh, Văn, Anh",Quận 8,159D/7,Đạ Nam,TP. Hồ Chí Minh,Phường 3,"TRUNG TAM TCD.VN
TOÁN - LÝ - HÓA - SINH - VĂN - ANH
TỪ LỚP 3 ĐẾN LỚP 12
TÁC GIẢ - CHỦ BIÊN: TRẦN CÔNG DIÊU
HỌC TẠI: 159D/7 DẠ NAM, P3, Q8",crop_images/GPAH9481.JPG.jpg_1730869943.992792.jpg
Trung Tâm TCD.VN,,,,Trung tâm giáo dục,"Dạy học Toán, Lý, Hóa, Sinh, Văn, Anh từ lớp 3 đến lớp 12",,,,,,"TRUNG TAM TCD.VN
TOÁN - LÝ - HÓA - SINH - VĂN - ANH
TỪ LỚP 3 ĐẾN LỚP 12",crop_images/GPAH9481.JPG.jpg_1730869944.1023026.jpg
NGTAMTCD.VN,"159D/7 Đa Nam, Phường 3, Quận Sơn",,,Sách và văn phòng phẩm,Sách từ lớp 3 đến lớp 12,Quận Sơn,159D/7,Đa Nam,,Phường 3,"NGTAMTCD.VN
LỚP 3 TỚI 12
159D/7 DA NAM, P3, QS",crop_images/GPAH9481.JPG.jpg_1730869944.2098837.jpg
Shop Phụ Liệu Phi Hương,,0908 722 795 - 0907 341 488,,,"Hạt cườm, phụ liệu may, handmade",,,,,,"Shop Phụ Liệu
Phi Hương
Chuyên: HẠT CƯỜM, PHỤ LIỆU MAY, HANDMADE...
DT: 0908 722 795 - 0907 341 488",crop_images/GPAH9483.JPG.jpg_1730870397.6754453.jpg
Phòng Khám BS Mai Loan - Bệnh Viện Nguyên Tri Phương,"61 Hùng Phú, Phường 8, Quận 8, TP.HCM",0377.555.684,,Dịch vụ chăm sóc sức khỏe,"Khám và điều trị các bệnh như mất ngủ, chóng mặt, đau đầu, đau khớp",Quận 8,61,Hùng Phú,TP.HCM,Phường 8,"PHÒNG KHÁM BS MAI LOAN
BỆNH VIỆN NGUYÊN TRI PHƯƠNG
MẤT NGỦ - CHÓNG MẶT
DAU ĐẦU - DAU KHỚP...
LÀM VIỆC: TỪ 17H-20H CÁC NGÀY TRONG TUẦN
ĐC: 61 HÙNG PHÚ - PHƯỜNG 8 - QUẬN 8 - TP.HCM
GP SỐ: 00229/SYT - GPHD
ĐT: 0377.555.684",crop_images/GPAH9483.JPG.jpg_1730870397.7036955.jpg
Phòng Khám BS Mai Loan - Bệnh Viện Nguyên Tri Phương,"61 Hưng Phú, Phường 8, Quận 8, TP.HCM",0377.555.684,,Dịch vụ chăm sóc sức khỏe,"Chăm sóc mất ngủ, chóng mặt, đau đầu, đau khớp",Quận 8,61,Hưng Phú,TP.HCM,Phường 8,"PHÒNG KHÁM BS MAI LOAN
BỆNH VIỆN NGUYÊN TRI PHƯƠNG
MẤT NGỦ - CHÓNG MẶT
DAU ĐẦU - DAU KHỚP...
LÀM VIỆC: TỪ 17H - 20H CÁC NGÀY TRONG TUẦN
ĐC: 61 HƯNG PHÚ - PHƯỜNG 8 - QUẬN 8 - TP.HCM
GP SỐ: 00229/SYT - GPHD
ĐT: 0377.555.684",crop_images/GPAH9483.JPG.jpg_1730870397.7458832.jpg
Shop Phụ Liệu Phi Hương,,0908 722 795 - 0907 341 488,,Phụ liệu may và handmade,"Hạt cườm, phụ liệu may, handmade",,,,,,"Shop Phụ Liệu
Phi Hương
Chuyên: HẠT CƯỜM, PHỤ LIỆU MAY, HANDMADE...
DT: 0908 722 795 - 0907 341 488",crop_images/GPAH9483.JPG.jpg_1730870397.7646093.jpg
Shop Phụ Liệu Phi Hương,"59 Hướng Phủ, Phường 8, Quận 8, Thành phố Hồ Chí Minh",0908 722 795 - 0907 341 468,,Phụ liệu thời trang,"Hạt cườm, Phụ liệu may, Handmade",Quận 8,59,Hướng Phủ,Thành phố Hồ Chí Minh,Phường 8,"Shop Phụ Liệu
Phi Hương
Chuyên: HẠT CƯỜM, PHỤ LIỆU MAY, HANDMADE.
ĐC: 59 Hướng Phủ, P.8, Q.8, TP.HCM
ĐT: 0908 722 795 - 0907 341 468",crop_images/GPAH9484.JPG.jpg_1730870526.625001.jpg
Phòng khám BS Mai Loan,Bệnh viện Nguyên Trí Phương,,,Dịch vụ y tế,"Mắt Ngủ - Chống Mắt, Đau Đầu - Đau Khớp",,,,,,"Phòng khám BS Mai Loan
Bệnh viện Nguyên Trí Phương
Mắt Ngủ - Chống Mắt
Đau Đầu - Đau Khớp",crop_images/GPAH9484.JPG.jpg_1730870526.6562576.jpg
Shop Phụ Liệu Phi Hương,"59 Hưng Phúc, Phường 8, Quận 8, Thành phố Hồ Chí Minh",0908 722 795 - 0907 341 458,,Phụ liệu may mặc và sản phẩm handmade,"HẠT CƯỜM, PHỤ LIỆU MAY, HANDMADE",Quận 8,59,Hưng Phúc,Thành phố Hồ Chí Minh,Phường 8,"Shop Phụ Liệu
Phi Hương
Chuyên: HẠT CƯỜM, PHỤ LIỆU MAY, HANDMADE.
ĐC: 59 Hưng Phúc, P.8, Q.8, TP.HCM
ĐT: 0908 722 795 - 0907 341 458",crop_images/GPAH9484.JPG.jpg_1730870526.6914947.jpg
